corpus,seed,docs,bin,n_lo,n_facts,frac_stored
Z05_n0,1,10000000,1,1,36087,0.006572718631796076
Z05_n0,1,10000000,2,2,7352,0.016894053063792165
Z05_n0,1,10000000,3-4,3,5151,0.030041240854324403
Z05_n0,1,10000000,5-8,5,3399,0.08242723330850986
Z05_n0,1,10000000,9-16,9,2191,0.15995668091767457
Z05_n0,1,10000000,17-32,17,1418,0.29876855331011987
Z05_n0,1,10000000,33-64,33,896,0.515380859375
Z05_n0,1,10000000,65-128,65,564,0.8862806820700354
Z05_n0,1,10000000,129-256,129,349,0.999755859375
Z05_n0,1,10000000,>=257,257,616,0.999755859375
Z05_n0,2,10000000,1,1,36388,0.007368259067206222
Z05_n0,2,10000000,2,2,7121,0.01913516003501966
Z05_n0,2,10000000,3-4,3,5097,0.037228882722066904
Z05_n0,2,10000000,5-8,5,3387,0.0791771761745276
Z05_n0,2,10000000,9-16,9,2224,0.17151844930305754
Z05_n0,2,10000000,17-32,17,1457,0.303118934186256
Z05_n0,2,10000000,33-64,33,858,0.513741873361014
Z05_n0,2,10000000,65-128,65,578,0.8994098386137543
Z05_n0,2,10000000,129-256,129,355,0.999755859375
Z05_n0,2,10000000,>=257,257,607,0.999755859375
Z05_n0,3,10000000,1,1,36132,0.007975719886457988
Z05_n0,3,10000000,2,2,7327,0.01313104703707179
Z05_n0,3,10000000,3-4,3,5027,0.03556250349674259
Z05_n0,3,10000000,5-8,5,3406,0.0822573273726512
Z05_n0,3,10000000,9-16,9,2176,0.1720904181985294
Z05_n0,3,10000000,17-32,17,1433,0.30540833669530704
Z05_n0,3,10000000,33-64,33,896,0.5354701450892857
Z05_n0,3,10000000,65-128,65,559,0.9049436947953936
Z05_n0,3,10000000,129-256,129,363,0.999755859375
Z05_n0,3,10000000,>=257,257,605,0.999755859375
Z05_n64,1,10000000,1,1,36077,0.005105528139032486
Z05_n64,1,10000000,2,2,7365,0.013333591893669382
Z05_n64,1,10000000,3-4,3,5133,0.02839408263625073
Z05_n64,1,10000000,5-8,5,3459,0.07232018432440734
Z05_n64,1,10000000,9-16,9,2141,0.16743451420918964
Z05_n64,1,10000000,17-32,17,1421,0.26435825205621044
Z05_n64,1,10000000,33-64,33,882,0.4476016643636621
Z05_n64,1,10000000,65-128,65,575,0.9041036854619565
Z05_n64,1,10000000,129-256,129,359,0.999755859375
Z05_n64,1,10000000,>=257,257,608,0.999755859375
Z05_n64,2,10000000,1,1,36102,0.00382765595136696
Z05_n64,2,10000000,2,2,7356,0.012126713099850462
Z05_n64,2,10000000,3-4,3,5122,0.029041294751805936
Z05_n64,2,10000000,5-8,5,3365,0.06156863797826895
Z05_n64,2,10000000,9-16,9,2229,0.1554310500434612
Z05_n64,2,10000000,17-32,17,1423,0.2970151706891251
Z05_n64,2,10000000,33-64,33,886,0.5132998774336908
Z05_n64,2,10000000,65-128,65,567,0.8639533902391975
Z05_n64,2,10000000,129-256,129,353,0.9969229981851983
Z05_n64,2,10000000,>=257,257,612,0.999755859375
Z05_n64,3,10000000,1,1,36385,0.004565533691339151
Z05_n64,3,10000000,2,2,7330,0.014762680657401092
Z05_n64,3,10000000,3-4,3,5099,0.02819280779625907
Z05_n64,3,10000000,5-8,5,3452,0.0773920123298088
Z05_n64,3,10000000,9-16,9,2215,0.14964299255784425
Z05_n64,3,10000000,17-32,17,1375,0.2906649502840909
Z05_n64,3,10000000,33-64,33,899,0.45025641554852613
Z05_n64,3,10000000,65-128,65,580,0.8876868938577587
Z05_n64,3,10000000,129-256,129,352,0.9969149502840909
Z05_n64,3,10000000,>=257,257,602,0.999755859375
Z10_n0,1,10000000,1,1,2123,0.0021110171705723034
Z10_n0,1,10000000,2,2,572,0.006748866368006993
Z10_n0,1,10000000,3-4,3,439,0.02025699832716401
Z10_n0,1,10000000,5-8,5,333,0.03278889240803303
Z10_n0,1,10000000,9-16,9,245,0.0324089205994898
Z10_n0,1,10000000,17-32,17,179,0.0667949655202514
Z10_n0,1,10000000,33-64,33,130,0.5766789362980769
Z10_n0,1,10000000,65-128,65,90,0.9775336371527777
Z10_n0,1,10000000,129-256,129,62,0.999755859375
Z10_n0,1,10000000,>=257,257,156,0.999755859375
Z10_n0,2,10000000,1,1,2224,0.0020040608138489208
