T,corpus,x_tokens,x_bits,reached
1000,Z05_n0,5747235.986550634,99575.14223153573,True
1000,Z05_n64,48387051.84860654,119943.40352930292,True
1000,Z10_n0,,,False
1000,Z10_n64,,,False
1000,EQ4_n16,,,False
2000,Z05_n0,18380007.906507544,210780.09599725157,True
2000,Z05_n64,173936653.4028541,273219.7517681461,True
2000,Z10_n0,,,False
2000,Z10_n64,,,False
2000,EQ4_n16,,,False
3000,Z05_n0,56422660.86389255,430937.924420637,True
3000,Z05_n64,425697007.89018255,484073.33792591206,True
3000,Z10_n0,,,False
3000,Z10_n64,,,False
3000,EQ4_n16,,,False
