T,corpus,x_tokens,x_ieff,reached
100,Z05_n0,360732.3333333333,3371.8591225039695,True
100,Z05_n64,3376357.117602242,4461.416184845236,True
100,Z10_n0,1707020.8214104578,1955.0405129273233,True
100,Z10_n64,14771964.378994709,2265.2984722105252,True
100,EQ4_n16,,,False
200,Z05_n0,599714.7480465748,4724.826461453142,True
200,Z05_n64,5955758.697291811,6499.236088938707,True
200,Z10_n0,6964039.497059806,3916.319253732486,True
200,Z10_n64,71169348.66662146,4977.308411775103,True
200,EQ4_n16,,,False
300,Z05_n0,957645.1161573626,6477.451943003043,True
300,Z05_n64,9535309.91415695,8857.604440407235,True
300,Z10_n0,21990408.46172707,6961.597948827644,True
300,Z10_n64,220980597.40936592,8751.93088193863,True
300,EQ4_n16,,,False
