corpus,seed,docs,i_eff,bits_stored,facts_stored
EQ16_n0,1,29952,354300.0,81.5009765625,6.791748046875
EQ16_n0,1,50816,595128.0,94.705078125,7.89208984375
EQ16_n0,1,86272,994212.0,81.2724609375,6.772705078125
EQ16_n0,1,146304,1640088.0,223.587890625,18.63232421875
EQ16_n0,1,248064,2655024.0,119.80078125,9.9833984375
EQ16_n0,1,420608,4162824.0,171.685546875,14.30712890625
EQ16_n0,1,713216,6215016.0,102.662109375,8.55517578125
EQ16_n0,1,1209472,8588604.0,567.1728515625,47.264404296875
EQ16_n0,1,2050944,10663848.0,468.521484375,39.04345703125
EQ16_n0,1,3477760,11761668.0,584.4990234375,48.708251953125
EQ16_n0,1,5897216,11991768.0,564.322265625,47.02685546875
EQ16_n0,1,10000000,12000000.0,226.3125,18.859375
EQ16_n0,1,16000000,12000000.0,346.3125,28.859375
EQ16_n0,2,29952,354492.0,57.4541015625,4.787841796875
EQ16_n0,2,50816,595416.0,34.634765625,2.88623046875
EQ16_n0,2,86272,994032.0,45.31640625,3.7763671875
EQ16_n0,2,146304,1639032.0,103.845703125,8.65380859375
EQ16_n0,2,248064,2653356.0,336.2080078125,28.017333984375
EQ16_n0,2,420608,4162596.0,387.7412109375,32.311767578125
EQ16_n0,2,713216,6212232.0,259.341796875,21.61181640625
EQ16_n0,2,1209472,8588184.0,387.275390625,32.27294921875
EQ16_n0,2,2050944,10657440.0,398.0859375,33.173828125
EQ16_n0,2,3477760,11761296.0,164.58984375,13.7158203125
EQ16_n0,2,5897216,11992416.0,372.1640625,31.013671875
EQ16_n0,2,10000000,12000000.0,-73.6875,-6.140625
EQ16_n0,2,16000000,12000000.0,346.3125,28.859375
EQ16_n64,1,29952,354300.0,9.5009765625,0.791748046875
EQ16_n64,1,50816,595128.0,82.705078125,6.89208984375
EQ16_n64,1,86272,994212.0,69.2724609375,5.772705078125
EQ16_n64,1,146304,1640088.0,127.587890625,10.63232421875
EQ16_n64,1,248064,2655024.0,191.80078125,15.9833984375
EQ16_n64,1,420608,4162824.0,243.685546875,20.30712890625
EQ16_n64,1,713216,6215016.0,102.662109375,8.55517578125
EQ16_n64,1,1209472,8588604.0,123.1728515625,10.264404296875
EQ16_n64,1,2050944,10663848.0,-431.478515625,-35.95654296875
EQ16_n64,1,3477760,11761668.0,356.4990234375,29.708251953125
EQ16_n64,1,5897216,11991768.0,204.322265625,17.02685546875
EQ16_n64,1,10000000,12000000.0,322.3125,26.859375
EQ16_n64,1,16000000,12000000.0,2062.3125,171.859375
EQ16_n64,2,29952,354492.0,21.4541015625,1.787841796875
EQ16_n64,2,50816,595416.0,106.634765625,8.88623046875
EQ16_n64,2,86272,994032.0,105.31640625,8.7763671875
EQ16_n64,2,146304,1639032.0,151.845703125,12.65380859375
EQ16_n64,2,248064,2653356.0,36.2080078125,3.017333984375
EQ16_n64,2,420608,4162596.0,39.7412109375,3.311767578125
EQ16_n64,2,713216,6212232.0,187.341796875,15.61181640625
EQ16_n64,2,1209472,8588184.0,219.275390625,18.27294921875
EQ16_n64,2,2050944,10657440.0,158.0859375,13.173828125
EQ16_n64,2,3477760,11761296.0,-87.41015625,-7.2841796875
EQ16_n64,2,5897216,11992416.0,-23.8359375,-1.986328125
EQ16_n64,2,10000000,12000000.0,454.3125,37.859375
EQ16_n64,2,16000000,12000000.0,706.3125,58.859375
EQ32_n0,1,29952,354372.0,-2.5166015625,-0.209716796875
EQ32_n0,1,50816,595260.0,106.6728515625,8.889404296875
EQ32_n0,1,86272,992544.0,69.6796875,5.806640625
EQ32_n0,1,146304,1636944.0,44.35546875,3.6962890625
EQ32_n0,1,248064,2646288.0,169.93359375,14.1611328125
EQ32_n0,1,420608,4141368.0,188.923828125,15.74365234375
EQ32_n0,1,713216,6163512.0,199.236328125,16.60302734375
EQ32_n0,1,1209472,8500704.0,180.6328125,15.052734375
EQ32_n0,1,2050944,10559652.0,445.9599609375,37.163330078125
EQ32_n0,1,3477760,11697768.0,288.099609375,24.00830078125
EQ32_n0,1,5897216,11982384.0,614.61328125,51.2177734375
EQ32_n0,1,10000000,11999868.0,550.3447265625,45.862060546875
EQ32_n0,1,16957184,12000000.0,754.3125,62.859375
EQ32_n0,1,28754432,12000000.0,958.3125,79.859375
EQ32_n0,1,32000000,12000000.0,886.3125,73.859375
EQ32_n0,2,29952,353940.0,-2.4111328125,-0.200927734375
EQ32_n0,2,50816,594624.0,190.828125,15.90234375
EQ32_n0,2,86272,992604.0,69.6650390625,5.805419921875
EQ32_n0,2,146304,1635492.0,104.7099609375,8.725830078125
EQ32_n0,2,248064,2643564.0,146.5986328125,12.216552734375
EQ32_n0,2,420608,4144008.0,380.279296875,31.68994140625
EQ32_n0,2,713216,6167628.0,198.2314453125,16.519287109375
EQ32_n0,2,1209472,8506404.0,311.2412109375,25.936767578125
EQ32_n0,2,2050944,10560816.0,301.67578125,25.1396484375
EQ32_n0,2,3477760,11699808.0,539.6015625,44.966796875
EQ32_n0,2,5897216,11983428.0,494.3583984375,41.196533203125
EQ32_n0,2,10000000,11999940.0,130.3271484375,10.860595703125
EQ32_n0,2,16957184,12000000.0,382.3125,31.859375
EQ32_n0,2,28754432,12000000.0,106.3125,8.859375
EQ32_n0,2,32000000,12000000.0,190.3125,15.859375
EQ4_n16,1,29952,355176.0,57.287109375,4.77392578125
EQ4_n16,1,50816,598416.0,117.90234375,9.8251953125
EQ4_n16,1,86272,1002348.0,91.2861328125,7.607177734375
EQ4_n16,1,146304,1662156.0,98.2001953125,8.183349609375
EQ4_n16,1,248064,2712264.0,93.826171875,7.81884765625
EQ4_n16,1,420608,4304676.0,53.0537109375,4.421142578125
EQ4_n16,1,713216,6527484.0,338.3759765625,28.197998046875
EQ4_n16,1,1209472,9161376.0,463.3359375,38.611328125
EQ4_n16,1,2050944,11324460.0,391.2392578125,32.603271484375
EQ4_n16,1,3477760,11996472.0,431.173828125,35.93115234375
EQ4_n16,1,4000000,12000000.0,22.3125,1.859375
EQ4_n16,2,29952,355344.0,93.24609375,7.7705078125
EQ4_n16,2,50816,598164.0,45.9638671875,3.830322265625
