corpus,seed,lr,docs,obj_loss_bits_indist,facts_stored,bits_stored_soft,train_loss_nats,git_commit,config_hash
Z05_n0,1,0.001,29952,0.8198897868812317,112.669677734375,3408.3986540383667,0.8302122950553894,3855b9ece9fd,d7af2238128a
Z05_n0,1,0.001,50816,0.6333890699496941,226.5341796875,5055.787471235277,0.7491514086723328,3855b9ece9fd,d7af2238128a
Z05_n0,1,0.001,86272,0.5284077293117334,339.338623046875,6870.752028753745,0.7408608198165894,3855b9ece9fd,d7af2238128a
Z05_n0,1,0.001,146304,0.4608640046680778,453.052978515625,8468.649072928112,0.6828842163085938,3855b9ece9fd,d7af2238128a
Z05_n0,1,0.001,248064,0.4115548737992545,559.663330078125,10160.24083043794,0.6646992564201355,3855b9ece9fd,d7af2238128a
Z05_n0,1,0.001,420608,0.3651279606920574,717.10791015625,12506.260642623603,0.7038734555244446,3855b9ece9fd,d7af2238128a
Z05_n0,1,0.001,713216,0.3247380704393232,904.3740234375,15181.620712449938,0.8050649762153625,3855b9ece9fd,d7af2238128a
Z05_n0,1,0.001,999936,0.3006253524479351,1055.710693359375,17368.85049824228,0.6590222716331482,3855b9ece9fd,d7af2238128a
Z05_n0,1,0.0003,29952,0.8418094369621589,101.669677734375,3069.498398297444,0.8272724151611328,3855b9ece9fd,86da2e848c5d
Z05_n0,1,0.0003,50816,0.6454589490204753,205.5341796875,4789.985296760595,0.7409998774528503,3855b9ece9fd,86da2e848c5d
Z05_n0,1,0.0003,86272,0.528119421997371,326.338623046875,6610.327090073293,0.7307258248329163,3855b9ece9fd,86da2e848c5d
Z05_n0,1,0.0003,146304,0.4476112014685768,470.052978515625,8566.329223064893,0.6813638210296631,3855b9ece9fd,86da2e848c5d
Z05_n0,1,0.0003,248064,0.3844754248316654,645.663330078125,11366.410209124217,0.6592675447463989,3855b9ece9fd,86da2e848c5d
Z05_n0,1,0.0003,420608,0.3307341330594596,910.10791015625,15101.010976923744,0.6986409425735474,3855b9ece9fd,86da2e848c5d
Z05_n0,1,0.0003,713216,0.2836324500222112,1338.3740234375,20077.056764398323,0.7897430658340454,3855b9ece9fd,86da2e848c5d
Z05_n0,1,0.0003,999936,0.2590799675332402,1609.710693359375,24204.109982116315,0.6588745713233948,3855b9ece9fd,86da2e848c5d
