corpus,zipf_a,filler_n,seed,lr,docs,train_tokens,facts_delivered,bits_delivered,obj_loss_bits_indist,ideal_loss_bits,facts_stored,bits_stored,bits_stored_soft,unseen_top1_acc,train_loss_nats,wall_seconds,git_commit,config_hash,obj_loss_bits_indist_fullvocab,unseen_loss_bits,delivered_top1_acc,cooldown
Z10_n0,1.0,0,3,0.0003,29952,360368,239,2868,0.1545890895952516,0.04790353772172114,38.941650390625,467.2998046875,960.9322537329259,0.0003,0.6008731126785278,3.9356319904327393,4d99018688fa,70c097885e1f,0.1688534771833979,12.844870546376706,0.16317991631799164,1
Z10_n0,1.0,0,3,0.0003,50816,612148,309,3708,0.10887626820873952,0.036775830308876496,61.924560546875,743.0947265625,1309.375816342426,0.00015,0.5161520838737488,7.317086935043335,4d99018688fa,70c097885e1f,0.11587997878751125,13.631905223035812,0.20064724919093851,1
Z10_n0,1.0,0,3,0.0003,86272,1038977,405,4860,0.08443965485938472,0.028222989080539634,80.901123046875,970.8134765625,1593.1779479185468,0.00025,0.5166823863983154,12.41708779335022,4d99018688fa,70c097885e1f,0.08914677243770895,13.772687476670741,0.2,1
Z10_n0,1.0,0,3,0.0003,146304,1762635,542,6504,0.06834567153796983,0.02167088687179396,98.86767578125,1186.412109375,1935.4832771118442,0.00015,0.4960143268108368,19.814181089401245,4d99018688fa,70c097885e1f,0.07244745063508941,13.694836991393567,0.18265682656826568,1
Z10_n0,1.0,0,3,0.0003,248064,2988225,708,8496,0.05489720942794696,0.016640991470177648,124.8271484375,1497.92578125,2259.53912307548,0.0002,0.5186964869499207,31.468955993652344,4d99018688fa,70c097885e1f,0.057673399423712635,13.113534047228098,0.1765536723163842,1
Z10_n0,1.0,0,3,0.0003,420608,5066536,928,11136,0.04305424248385776,0.01277806365609627,176.7734375,2121.28125,2821.7631583025423,0.00025,0.535760223865509,50.28047966957092,4d99018688fa,70c097885e1f,0.04605209879829377,12.761063769841194,0.19073275862068967,1
Z10_n0,1.0,0,3,0.0003,713216,8592299,1184,14208,0.035598356226997724,0.009811118054930306,219.7109375,2636.53125,3310.878535009773,0.00015,0.5047526955604553,81.93471193313599,4d99018688fa,70c097885e1f,0.03731520824847398,12.62658716673851,0.1858108108108108,1
Z10_n0,1.0,0,3,0.0003,1209472,14570972,1507,18084,0.029602539621939046,0.007532404204966946,264.632080078125,3175.5849609375,3991.6621523088947,0.00015,0.504676342010498,133.51005125045776,4d99018688fa,70c097885e1f,0.030992612102383202,12.483085959684848,0.17584605175846052,1
Z10_n0,1.0,0,3,0.0003,2050944,24706742,1980,23760,0.025936707025356356,0.005782658574413929,302.5166015625,3630.19921875,4572.766796906584,0.00015,0.5437553524971008,220.1922266483307,4d99018688fa,70c097885e1f,0.02702933927707196,12.551117160469294,0.15303030303030302,1
Z10_n0,1.0,0,3,0.0003,3477760,41896201,2560,30720,0.02236985071983271,0.004439040286120513,362.375,4348.5,5238.763564278988,0.00015,0.5699769258499146,366.0600757598877,4d99018688fa,70c097885e1f,0.02355950149463261,12.495394741994142,0.141796875,1
Z10_n0,1.0,0,3,0.0003,5897216,71040869,3405,40860,0.020299028344760165,0.003407215960394103,415.168701171875,4982.0244140625,5735.342366614053,0.00015,0.5033930540084839,600.5902915000916,4d99018688fa,70c097885e1f,0.0212134124489841,12.304462416028976,0.12217327459618209,1
