corpus,zipf_a,filler_n,seed,lr,docs,train_tokens,facts_delivered,bits_delivered,obj_loss_bits_indist,ideal_loss_bits,facts_stored,bits_stored,bits_stored_soft,unseen_top1_acc,train_loss_nats,wall_seconds,git_commit,config_hash,obj_loss_bits_indist_fullvocab,unseen_loss_bits,delivered_top1_acc,cooldown
EQ16_n0,,0,1,0.0003,29952,360629,29525,354300,12.222651429610252,11.645578331569055,6.791748046875,81.5009765625,1715.9922131156918,0.00025,2.4493091106414795,4.02991795539856,903a4a7215bc,089c7ef47fc0,12.27697815521717,12.231522030878066,0.0004741744284504657,1
EQ16_n0,,0,1,0.0003,50816,612110,49594,595128,12.197591819448471,11.404519894730562,7.89208984375,94.705078125,2367.3308090875635,0.0001,2.419163942337036,7.419297218322754,903a4a7215bc,089c7ef47fc0,12.225482447648048,12.208858781433106,0.000403274589668105,1
EQ16_n0,,0,1,0.0003,86272,1039415,82851,994212,12.159956507453918,11.005566390877995,6.772705078125,81.2724609375,2910.2822420268058,0.00035,2.4152982234954834,12.312828063964844,903a4a7215bc,089c7ef47fc0,12.189760352640151,12.16842400841713,0.0003258862294963247,1
EQ16_n0,,0,1,0.0003,146304,1762297,136674,1640088,12.085189678063392,10.359765204235389,18.63232421875,223.587890625,3114.045597061635,0.0001,2.4031002521514893,19.715574026107788,903a4a7215bc,089c7ef47fc0,12.133307918982506,12.093388565826416,0.0003804673895547068,1
EQ16_n0,,0,1,0.0003,248064,2988264,221252,2655024,12.043995912370681,9.345541918915398,9.9833984375,119.80078125,3035.741895495037,0.0005,2.4082837104797363,31.25391674041748,903a4a7215bc,089c7ef47fc0,12.119201631007195,12.050585764741898,0.00028926292191709,1
EQ16_n0,,0,1,0.0003,420608,5066817,346902,4162824,12.016392140398025,7.8355505089049595,14.30712890625,171.685546875,2721.926990558626,0.0003,2.3932507038116455,49.71164131164551,903a4a7215bc,089c7ef47fc0,12.093834642672538,12.022321335029602,0.00028538319179480085,1
EQ16_n0,,0,1,0.0003,713216,8592159,517918,6215016,12.007960571837426,5.785214116360587,8.55517578125,102.662109375,2681.155884328371,0.0003,2.378270149230957,79.61207747459412,903a4a7215bc,089c7ef47fc0,12.090688278799057,12.016046046590805,0.00026065902324306166,1
EQ16_n0,,0,1,0.0003,1209472,14568727,715717,8588604,12.003091292877198,3.411929935788568,47.264404296875,567.1728515625,2268.5247966079696,0.0001,2.417597770690918,128.0715606212616,903a4a7215bc,089c7ef47fc0,12.108867297682762,12.008732022714614,0.0003101784643930492,1
EQ16_n0,,0,1,0.0003,2050944,24705412,888654,10663848,12.010147903466224,1.336528208799631,39.04345703125,468.521484375,3239.8040417120937,5e-05,2.3835017681121826,207.20568895339966,903a4a7215bc,089c7ef47fc0,12.099297367978096,12.018550596427918,0.0002880761241157976,1
EQ16_n0,,0,1,0.0003,3477760,41890681,980139,11761668,12.002362971405983,0.2377787226637214,48.708251953125,584.4990234375,2635.2643657903973,0.00010069986405518353,2.381462812423706,337.413978099823,903a4a7215bc,089c7ef47fc0,12.102952866759301,12.008625722592898,0.0002938358742994616,1
EQ16_n0,,0,1,0.0003,5897216,71037802,999314,11991768,11.999922612876892,0.00766155117011613,47.02685546875,564.322265625,5011.889480835489,0.0,2.390251874923706,552.6108603477478,903a4a7215bc,089c7ef47fc0,12.104204695158005,12.004414220593066,0.0002911997630374437,1
EQ16_n0,,0,1,0.0003,10000000,120462215,1000000,12000000,12.013443369555473,1.8351691545055401e-06,18.859375,226.3125,nan,nan,2.4503731727600098,912.4401392936707,903a4a7215bc,089c7ef47fc0,12.092371663799286,nan,0.000263,1
EQ16_n0,,0,1,0.0003,16000000,192742582,1000000,12000000,12.001576347718238,0.0,28.859375,346.3125,nan,nan,2.395606279373169,1447.5467031002045,903a4a7215bc,089c7ef47fc0,12.153615516018867,nan,0.000273,1
