corpus,zipf_a,filler_n,seed,lr,docs,train_tokens,facts_delivered,bits_delivered,obj_loss_bits_indist,ideal_loss_bits,facts_stored,bits_stored,bits_stored_soft,unseen_top1_acc,train_loss_nats,wall_seconds,git_commit,config_hash,obj_loss_bits_indist_fullvocab,unseen_loss_bits,delivered_top1_acc,cooldown
EQ4_n16,,16,1,0.0003,29952,840220,29598,355176,12.14892479156971,11.644592803359991,4.77392578125,57.287109375,1618.6213444087025,0.00015,5.108044147491455,4.046061754226685,903a4a7215bc,063d508665bc,12.174950353565215,12.15209958577156,0.00040543279951348065,1
EQ4_n16,,16,1,0.0003,50816,1425461,49868,598416,12.169817146143913,11.40172987353551,9.8251953125,117.90234375,2147.3158962270736,0.00025,5.130234241485596,7.503119945526123,903a4a7215bc,063d508665bc,12.197218127355576,12.17563362956047,0.0004411646747413171,1
EQ4_n16,,16,1,0.0003,86272,2419988,83529,1002348,12.150216071224213,10.997749511296382,7.607177734375,91.2861328125,2572.9957187284017,0.0003,5.1070427894592285,12.419892072677612,903a4a7215bc,063d508665bc,12.192744712715148,12.166332176399232,0.0003352129200636905,1
EQ4_n16,,16,1,0.0003,146304,4102987,138513,1662156,12.168978407082557,10.338346047238574,8.183349609375,98.2001953125,2541.5868204202197,0.0003,5.1308135986328125,19.891390323638916,903a4a7215bc,063d508665bc,12.267039494366646,12.176376613807678,0.00030322063633016395,1
EQ4_n16,,16,1,0.0003,248064,6956893,226022,2712264,12.069901702909469,9.288870841490215,7.81884765625,93.826171875,3080.4109916197776,5e-05,5.081396579742432,31.505576848983765,903a4a7215bc,063d508665bc,12.233718194408416,12.07668638677597,0.00027873392855562733,1
EQ4_n16,,16,1,0.0003,420608,11796795,358723,4304676,12.055824462342262,7.694461954431807,4.421142578125,53.0537109375,4157.069185120483,0.0001,5.0694990158081055,50.18691420555115,903a4a7215bc,063d508665bc,12.220139236454964,12.067382089662551,0.00025646529494902754,1
EQ4_n16,,16,1,0.0003,713216,20004215,543957,6527484,12.050148685412408,5.470484553005797,28.197998046875,338.3759765625,5100.084074116661,0.0002,5.060319900512695,80.62417960166931,903a4a7215bc,063d508665bc,12.21148878841877,12.060983514547347,0.0002959792777737946,1
EQ4_n16,,16,1,0.0003,1209472,33921874,763448,9161376,12.034282339835167,2.8424087842032657,38.611328125,463.3359375,4381.499899893955,0.00035,5.090175151824951,129.74553799629211,903a4a7215bc,063d508665bc,12.20579339688778,12.04146080698967,0.00029471555364608983,1
EQ4_n16,,16,1,0.0003,2050944,57521504,943705,11324460,12.029582014350892,0.676453370089572,32.603271484375,391.2392578125,6588.7653402006545,0.0002,5.083497524261475,209.98381233215332,903a4a7215bc,063d508665bc,12.200303993816375,12.043785673046113,0.00027868878516061694,1
EQ4_n16,,16,1,0.0003,3477760,97539283,999706,11996472,12.026764459762573,0.0034867232164664027,35.93115234375,431.173828125,-13986.479367794629,0.0,5.072851181030273,341.6844799518585,903a4a7215bc,063d508665bc,12.177116039791107,11.997007515965675,0.0002800823442091975,1
EQ4_n16,,16,1,0.0003,4000000,112186180,1000000,12000000,12.024485394482612,0.0,1.859375,22.3125,nan,nan,5.07139253616333,414.166490316391,903a4a7215bc,063d508665bc,12.177272406396867,nan,0.000246,1
