corpus,zipf_a,filler_n,seed,lr,docs,train_tokens,facts_delivered,bits_delivered,obj_loss_bits_indist,ideal_loss_bits,facts_stored,bits_stored,bits_stored_soft,unseen_top1_acc,train_loss_nats,wall_seconds,git_commit,config_hash,obj_loss_bits_indist_fullvocab,unseen_loss_bits,delivered_top1_acc,cooldown
Z05_n64,0.5,64,2,0.0003,29952,2277525,1370,16440,1.0107943445604848,0.35480948147978575,68.66552734375,823.986328125,2002.0567572415582,0.00045,6.03761625289917,4.68326473236084,4d99018688fa,45e51d3f83d6,1.0439916078011586,12.686581345069408,0.050364963503649635,1
Z05_n64,0.5,64,2,0.0003,50816,3864022,1939,23268,0.789901257377836,0.2960042166348513,106.526611328125,1278.3193359375,3430.0856944866737,0.0002,6.031352519989014,8.448235750198364,4d99018688fa,45e51d3f83d6,0.8077327685764834,13.04268256521225,0.05518308406395049,1
Z05_n64,0.5,64,2,0.0003,86272,6560498,2756,33072,0.6086587933320988,0.24664083941912313,211.3271484375,2535.92578125,5217.950375285421,0.00015,6.0173726081848145,13.93342900276184,4d99018688fa,45e51d3f83d6,0.6182080103804627,12.890639354372025,0.07692307692307693,1
Z05_n64,0.5,64,2,0.0003,146304,11126132,3873,46476,0.5109357552471778,0.20534099288773544,309.054443359375,3708.6533203125,6726.529036779752,0.0002,6.033321380615234,22.319127559661865,4d99018688fa,45e51d3f83d6,0.5265124588281245,12.685342878866196,0.08004131164471985,1
Z05_n64,0.5,64,2,0.0003,248064,18864698,5393,64716,0.412961149381453,0.17071910531133175,517.683349609375,6212.2001953125,9430.405026818751,0.00025,5.99492883682251,35.620402574539185,4d99018688fa,45e51d3f83d6,0.4180299199591441,12.572560715079307,0.09623586130168738,1
Z05_n64,0.5,64,2,0.0003,420608,31985771,7631,91572,0.35505296735997005,0.1416838660619881,762.136962890625,9145.6435546875,12844.06780363792,0.00035,6.017001628875732,57.26198196411133,4d99018688fa,45e51d3f83d6,0.35907479644818174,12.445140609478951,0.10011793998165378,1
Z05_n64,0.5,64,2,0.0003,713216,54237080,10757,129084,0.30125773452784443,0.1173317219163717,1122.373779296875,13468.4853515625,17329.309510274354,0.0002,6.01110315322876,93.1122658252716,4d99018688fa,45e51d3f83d6,0.3039790344030393,12.389211164832115,0.10458306219206098,1
Z05_n64,0.5,64,2,0.0003,1209472,91975972,15100,181200,0.26274504886223765,0.09690780792309003,1619.3134765625,19431.76171875,23078.936544369117,0.0001,6.028219223022461,153.00015807151794,4d99018688fa,45e51d3f83d6,0.2649065059217934,12.304684060764313,0.10748344370860927,1
Z05_n64,0.5,64,2,0.0003,2050944,155966402,21075,252900,0.24341232305246036,0.07978234231599987,1827.854736328125,21934.2568359375,26094.434005927185,0.0002,6.015959739685059,253.6299865245819,4d99018688fa,45e51d3f83d6,0.2650430398402068,12.489996091485024,0.08697508896797153,1
Z05_n64,0.5,64,2,0.0003,3477760,264471041,29667,356004,0.21961386699158872,0.06542250399547153,2528.757080078125,30345.0849609375,33624.83325889032,0.00015,6.022123336791992,422.81347155570984,4d99018688fa,45e51d3f83d6,0.2220534041273316,12.179908835935592,0.0854821855934203,1
Z05_n64,0.5,64,2,0.0003,5897216,448463813,41563,498756,0.20897902510955665,0.05338143526360601,3021.852783203125,36262.2333984375,38880.962240433975,0.00015,6.036647796630859,709.595999956131,4d99018688fa,45e51d3f83d6,0.21164335654087343,12.153173430466651,0.07294949835189952,1
Z05_n64,0.5,64,2,0.0003,10000000,760467929,58015,696180,0.19923469880345593,0.0432854858285397,3260.836181640625,39130.0341796875,40019.77133038933,0.00015,6.014361381530762,1194.8992521762848,4d99018688fa,45e51d3f83d6,0.2086023432676931,12.190239919137955,0.05645091786606912,1
