model_size,corpus,seed,point,docs,train_tokens,facts_newly_capped,retained_at_end
L,CAPPED,1,0,35712,1002054,1,0.0
L,CAPPED,1,1,80640,2262035,270,0.003703703703703704
L,CAPPED,1,2,182016,5105143,909,0.0
L,CAPPED,1,3,411008,11527390,2183,0.0
L,CAPPED,1,4,928128,26032164,6457,0.00046461204893913583
L,CAPPED,1,5,2096512,58799614,15341,0.0002607391956195815
L,CAPPED,1,6,4735488,132817326,37912,0.0003956530913694872
L,CAPPED,1,7,10696448,300003159,101787,0.242457288258815
L,CAPPED,1,below_cstar_at_end,10696448,300003159,806621,0.2895449039883663
L,CAPPED,2,0,35712,1002175,0,
L,CAPPED,2,1,80640,2261705,277,0.0
L,CAPPED,2,2,182016,5104542,897,0.0
L,CAPPED,2,3,411008,11527381,2202,0.0
L,CAPPED,2,4,928256,26034471,6441,0.0
L,CAPPED,2,5,2096512,58801278,15361,0.0005207994271206302
L,CAPPED,2,6,4735488,132817924,37884,0.0004751346214760849
L,CAPPED,2,7,10696320,300001190,101651,0.23610195669496611
L,CAPPED,2,below_cstar_at_end,10696320,300001190,806868,0.2824427291700749
L,CURATED,1,0,83072,1001257,286,0.0
L,CURATED,1,1,187520,2259419,937,0.0
L,CURATED,1,2,423552,5102410,2297,0.00043535045711797995
L,CURATED,1,3,956800,11524992,6625,0.0003018867924528302
L,CURATED,1,4,2161024,26032939,15866,0.00037816714988024705
L,CURATED,1,5,4881152,58800558,39403,0.00022840900439052863
L,CURATED,1,6,11025536,132815156,105822,0.00020789627865661206
L,CURATED,1,7,24903680,300000664,388449,0.18547093698271847
L,CURATED,1,below_cstar_at_end,24903680,300000664,440315,0.7750360537342584
L,CURATED,2,0,83072,1000576,280,0.0
L,CURATED,2,1,187648,2259826,942,0.0
L,CURATED,2,2,423680,5103020,2317,0.0
L,CURATED,2,3,956800,11525985,6623,0.00015098897780462027
L,CURATED,2,4,2160768,26031604,15916,6.282985674792661e-05
L,CURATED,2,5,4881024,58799814,39178,0.00022972076165194753
L,CURATED,2,6,11024768,132815053,105966,0.0002642356982428326
L,CURATED,2,7,24902400,300000632,388245,0.18396630993316077
L,CURATED,2,below_cstar_at_end,24902400,300000632,440532,0.7751309779993281
M,CAPPED,1,0,35712,1002054,1,0.0
M,CAPPED,1,1,80640,2262035,270,0.0
M,CAPPED,1,2,182016,5105143,909,0.0011001100110011
M,CAPPED,1,3,411008,11527390,2183,0.0
M,CAPPED,1,4,928128,26032164,6457,0.0
M,CAPPED,1,5,2096512,58799614,15341,0.00032592399452447687
M,CAPPED,1,6,4735488,132817326,37912,0.00023739185482169234
M,CAPPED,1,7,10696448,300003159,101787,0.10122117755705543
M,CAPPED,1,below_cstar_at_end,10696448,300003159,806621,0.08189595857286136
M,CAPPED,2,0,35712,1002175,0,
M,CAPPED,2,1,80640,2261705,277,0.0
M,CAPPED,2,2,182016,5104542,897,0.0
M,CAPPED,2,3,411008,11527381,2202,0.0
M,CAPPED,2,4,928256,26034471,6441,0.0
M,CAPPED,2,5,2096512,58801278,15361,0.00019529978517023632
M,CAPPED,2,6,4735488,132817924,37884,0.0003167564143173899
M,CAPPED,2,7,10696320,300001190,101651,0.09234537781231862
M,CAPPED,2,below_cstar_at_end,10696320,300001190,806868,0.07760872906101123
M,CURATED,1,0,83072,1001257,286,0.0
M,CURATED,1,1,187520,2259419,937,0.0
M,CURATED,1,2,423552,5102410,2297,0.0
M,CURATED,1,3,956800,11524992,6625,0.0
M,CURATED,1,4,2161024,26032939,15866,0.00031513929156687257
M,CURATED,1,5,4881152,58800558,39403,0.0002537877826561429
M,CURATED,1,6,11025536,132815156,105822,0.00026459526374477896
M,CURATED,1,7,24903680,300000664,388449,0.06053561728824119
M,CURATED,1,below_cstar_at_end,24903680,300000664,440315,0.21662446203286284
M,CURATED,2,0,83072,1000576,280,0.0
M,CURATED,2,1,187648,2259826,942,0.0
M,CURATED,2,2,423680,5103020,2317,0.0
M,CURATED,2,3,956800,11525985,6623,0.00015098897780462027
M,CURATED,2,4,2160768,26031604,15916,0.0003769791404875597
M,CURATED,2,5,4881024,58799814,39178,0.00015314717443463169
M,CURATED,2,6,11024768,132815053,105966,0.00018873978445916616
M,CURATED,2,7,24902400,300000632,388245,0.06256358742546587
M,CURATED,2,below_cstar_at_end,24902400,300000632,440532,0.22213369289858625
S,CAPPED,1,0,35712,1002054,0,
S,CAPPED,1,1,80640,2262035,59,0.0
S,CAPPED,1,2,182016,5105143,733,0.001364256480218281
S,CAPPED,1,3,410880,11524536,1306,0.0
S,CAPPED,1,4,928128,26032025,2219,0.0
S,CAPPED,1,5,2096512,58802101,10636,0.000376081233546446
S,CAPPED,1,6,4735488,132815499,26823,0.0003355329381500951
S,CAPPED,1,7,10696320,300000105,69707,0.020112757685741747
S,CAPPED,1,below_cstar_at_end,10696320,300000105,832813,0.01238693440184051
S,CAPPED,2,0,35712,1002175,0,
S,CAPPED,2,1,80640,2261705,83,0.0
S,CAPPED,2,2,182016,5104542,714,0.0028011204481792717
S,CAPPED,2,3,411008,11527477,1251,0.0
S,CAPPED,2,4,928256,26034033,2267,0.0
S,CAPPED,2,5,2096640,58801961,10612,0.00028269883151149644
S,CAPPED,2,6,4735488,132815566,27005,0.00018515089798185522
S,CAPPED,2,7,10696448,300001468,69602,0.020358610384759057
S,CAPPED,2,below_cstar_at_end,10696448,300001468,832712,0.011043433984378752
S,CURATED,1,0,83072,1001257,85,0.0
S,CURATED,1,1,187520,2259419,732,0.0
S,CURATED,1,2,423552,5102709,1310,0.0007633587786259542
S,CURATED,1,3,956800,11525385,2306,0.0
S,CURATED,1,4,2160896,26031775,11086,0.00036081544290095615
S,CURATED,1,5,4881024,58800756,27958,0.00017883968810358396
S,CURATED,1,6,11025408,132816158,72326,0.0002626994441832813
S,CURATED,1,7,24904320,300001372,221958,0.005627190729777706
S,CURATED,1,below_cstar_at_end,24904320,300001372,662206,0.014395822447999565
S,CURATED,2,0,83072,1000576,90,0.0
S,CURATED,2,1,187648,2259826,727,0.0
S,CURATED,2,2,423680,5103316,1301,0.0
S,CURATED,2,3,956800,11525059,2305,0.0
S,CURATED,2,4,2160896,26031994,11156,0.00026891358910003586
S,CURATED,2,5,4881152,58800478,27801,0.00039566922053163556
S,CURATED,2,6,11024896,132814939,72480,0.00033112582781456954
S,CURATED,2,7,24902784,300000440,221731,0.00479860732148414
S,CURATED,2,below_cstar_at_end,24902784,300000440,662382,0.012024783282154406
