corpus,zipf_a,filler_n,seed,lr,docs,train_tokens,facts_delivered,bits_delivered,obj_loss_bits_indist,ideal_loss_bits,facts_stored,bits_stored,bits_stored_soft,unseen_top1_acc,train_loss_nats,wall_seconds,git_commit,config_hash,obj_loss_bits_indist_fullvocab,unseen_loss_bits,delivered_top1_acc,cooldown,model_size,n_params_nonemb,n_params_total,bits_stored_per_param,bits_stored_per_param_total,k_sub,frac_stored,mean_exposures,cap,warmup_docs,facts_with_at_least_cstar_exposures,cap_adequacy,budget_tokens,n_uncapped
U30000,,0,1,0.0003,29952,361043,18999,227988,12.065579661374093,nan,4.361572265625,52.3388671875,1532.294570816326,0.0003,2.384631395339966,3.3929548263549805,b2f56ecef4c4,e3cdae77e3ac,12.129662744169234,12.215567051553727,0.0004737091425864519,1,M,7993152,9582336,6.547963455155113e-06,5.462015440441663e-06,30000,0.0001453857421875,0.9984,,,,,,
U30000,,0,1,0.0003,50816,612242,24536,294432,12.00156667245865,nan,14.009765625,168.1171875,2454.1453333415984,0.00015,2.4192283153533936,6.0802271366119385,b2f56ecef4c4,e3cdae77e3ac,12.047192537288666,12.215094017839432,0.0008151287903488751,1,M,7993152,9582336,2.103265238794408e-05,1.754448889080909e-05,30000,0.0004669921875,1.6938666666666666,,,,,,
U30000,,0,1,0.0003,86272,1039177,28310,339720,11.705541975460052,nan,44.08837890625,529.060546875,8845.717883756637,0.00015,2.354050636291504,9.990307807922363,b2f56ecef4c4,e3cdae77e3ac,11.759525252203941,12.275405467796325,0.0018014835747085834,1,M,7993152,9582336,6.618922633711958e-05,5.521206383026018e-05,30000,0.0014696126302083334,2.8757333333333333,,,,,,
U30000,,0,1,0.0003,146304,1762524,29767,357204,11.324055057902337,nan,73.732666015625,884.7919921875,17600.406866944097,0.00035,2.3395049571990967,16.019352674484253,b2f56ecef4c4,e3cdae77e3ac,11.381808170549869,12.358823958706855,0.002721134141834918,1,M,7993152,9582336,0.00011069375287589927,9.233573026321557e-05,30000,0.002457755533854167,4.8768,,,,,,
U30000,,0,1,0.0003,248064,2988599,29989,359868,10.813434290821553,nan,454.678466796875,5456.1416015625,30644.59333104513,0.00035,2.331846237182617,25.388399600982666,b2f56ecef4c4,e3cdae77e3ac,10.901701996500492,12.406277103304863,0.015405648737870552,1,M,7993152,9582336,0.0006826020075137442,0.0005693957717160513,30000,0.015155948893229167,8.2688,,,,,,
U30000,,0,1,0.0003,420608,5066718,30000,360000,8.246375506735443,nan,8026.67578125,96320.109375,105194.58013319969,0.0002,2.161113977432251,40.28238224983215,b2f56ecef4c4,e3cdae77e3ac,8.389097837364375,12.578263900065423,0.2678,1,M,7993152,9582336,0.012050328753287815,0.010051840112369259,30000,0.267555859375,14.020266666666666,,,,,,
U30000,,0,1,0.0003,713216,8590941,30000,360000,0.9336784135198267,nan,28875.67578125,346508.109375,324597.02974754246,0.0003,1.4413130283355713,65.05508184432983,b2f56ecef4c4,e3cdae77e3ac,0.9788394735595072,13.44932470419407,0.9627666666666667,1,M,7993152,9582336,0.043350621804139344,0.03616113120798519,30000,0.9625225260416667,23.773866666666667,,,,,,
U30000,,0,1,0.0003,1209472,14568590,30000,360000,0.034103273661502315,nan,29987.67578125,359852.109375,352359.3718603918,0.00025,1.3668019771575928,105.85528254508972,b2f56ecef4c4,e3cdae77e3ac,0.037702856103394154,14.105632803916931,0.9998333333333334,1,M,7993152,9582336,0.045020050835390096,0.03755369352264416,30000,0.9995891927083334,40.315733333333334,,,,,,
U30000,,0,1,0.0003,2050944,24703035,30000,360000,0.01106007021914018,nan,29991.67578125,359900.109375,353293.912045124,0.00025,1.338565707206726,174.06840586662292,b2f56ecef4c4,e3cdae77e3ac,0.012611299466970304,14.247116364067793,0.9999666666666667,1,M,7993152,9582336,0.04502605597579028,0.03755870273960337,30000,0.9997225260416667,68.3648,,,,,,
U30000,,0,1,0.0003,3477760,41892582,30000,360000,0.0036425497067499235,nan,29992.67578125,359912.109375,353814.35638961045,0.0004,1.3317475318908691,289.4318721294403,b2f56ecef4c4,e3cdae77e3ac,0.004225134360292869,14.476970131599904,1.0,1,M,7993152,9582336,0.04502755726089032,0.03755995504384317,30000,0.999755859375,115.92533333333333,,,,,,
U30000,,0,1,0.0003,5897216,71037181,30000,360000,0.000620005226974904,nan,29992.67578125,359912.109375,354727.94283779874,0.0002,1.3119171857833862,484.34637570381165,b2f56ecef4c4,e3cdae77e3ac,0.0007140570468940404,15.044116795802116,1.0,1,M,7993152,9582336,0.04502755726089032,0.03755995504384317,30000,0.999755859375,196.57386666666667,,,,,,
U30000,,0,1,0.0003,10000000,120459128,30000,360000,6.859673763727699e-05,nan,29992.67578125,359912.109375,355619.5637767379,0.0002,1.3116835355758667,816.366984128952,b2f56ecef4c4,e3cdae77e3ac,7.389817430480832e-05,16.094086790205537,1.0,1,M,7993152,9582336,0.04502755726089032,0.03755995504384317,30000,0.999755859375,333.3333333333333,,,,,,
