model_size,k_sub,seed,plateau_steps,plateau_docs,c50,c90,c50_after_plateau,c90_after_plateau,frac_stored_final,mean_exposures_final,bits_per_param_final,bits_per_param_total_final,n_params_nonemb
L,10000,1,1000,128000,12.249353545389614,20.7147323324277,0.06745967328544103,6.317404425402693,0.999755859375,1000.0,0.0038055898710617,0.003492588754524,31524864
L,10000,2,1000,128000,11.532892904997585,19.28304183453038,0.022011613328856417,4.894823764932872,0.999755859375,1000.0,0.0038055898710617,0.003492588754524,31524864
L,30000,1,1000,128000,13.983201237675331,21.417861706594397,9.71013680383158,17.009998903327702,0.999755859375,333.3333333333333,0.0114167696131853,0.010477766263572,31524864
L,30000,2,1000,128000,12.903264089233467,20.93734177860603,8.478792394688135,16.510850799889106,0.999755859375,333.3333333333333,0.0114167696131853,0.010477766263572,31524864
L,100000,1,28000,3584000,45.26198274060745,55.95872379825799,0.0149780507996219,5.396470684134941,0.999745859375,100.0,0.038055518058698,0.0349255382010755,31524864
L,100000,2,34000,4352000,45.43033707659101,56.268090652945396,0.01353740787266528,4.354110979100679,0.999755859375,100.0,0.0380558987106177,0.03492588754524,31524864
M,10000,1,1000,128000,18.45376903548267,27.22229624302348,4.185339829684986,14.044475964444038,0.999755859375,1000.0,0.0150091857536301,0.0125199850146143,7993152
M,10000,2,1000,128000,19.03005776272746,29.966241900553854,4.669878693364145,16.514672250332545,0.999755859375,1000.0,0.0150091857536301,0.0125199850146143,7993152
M,30000,1,1000,128000,16.728783544364976,22.67080700673777,12.298435120373332,18.327905550042562,0.999755859375,333.3333333333333,0.0450275572608903,0.0375599550438431,7993152
M,30000,2,1000,128000,17.05776170875527,22.863397332570585,12.616856770915316,18.532539962094003,0.999755859375,333.3333333333333,0.0450275572608903,0.0375599550438431,7993152
S,10000,1,1000,128000,18.610941562969938,25.55470238411569,4.313717430617126,12.623745901963538,0.999755859375,1000.0,0.0586490906804369,0.0403589537767039,2045568
S,10000,2,1000,128000,16.817725545458547,23.976962133242964,3.0068084192901647,10.63650192180263,0.999755859375,1000.0,0.0586490906804369,0.0403589537767039,2045568
S,30000,1,4000,512000,29.91232662701596,38.95741701304806,11.516411018846515,21.447321653319293,0.9987891927083332,333.3333333333333,0.1757771481441829,0.1209597917827269,2045568
S,30000,2,4000,512000,27.807918847574772,38.70032477430231,9.69951463939493,21.115680626559026,0.998155859375,333.3333333333333,0.1756656876598578,0.1208830910447851,2045568
