corpus,seed,docs,train_tokens,c90_used,facts_delivered,facts_stored_top1,unabsorbed,excess,useful,frac_tokens_template_filler,share_docs_top1_fact,share_docs_top100_facts
Z05_n0,1,10000000,120465717,93.14205834856745,58023,3511,0.0154006,0.9675415087031992,0.017057891296800798,0.5019329856310903,0.3830083,0.9243827
Z05_n0,2,10000000,120473206,93.14205834856745,58072,3622,0.0152906,0.9674778376740248,0.017231562325975114,0.5019639470705213,0.3830243,0.9242286
Z05_n0,3,10000000,120468414,93.14205834856745,57924,3623,0.0151169,0.9674967655265387,0.017386334473461273,0.5019441361616996,0.3831581,0.9243406
Z05_n64,1,10000000,760464699,99.83317714198333,58020,3308,0.0156483,0.9666751678526713,0.017676532147328783,0.9211008741380118,0.3827972,0.9242546
Z05_n64,2,10000000,760467929,99.83317714198333,58015,3275,0.0155731,0.9667108011235281,0.017716098876471853,0.9211012092529677,0.3831891,0.9243699
Z05_n64,3,10000000,760466071,99.83317714198333,58289,3303,0.0157532,0.9666704845349573,0.01757631546504268,0.9211010164844028,0.3831538,0.9243748
Z10_n0,1,10000000,120465717,79.81644484750177,4329,430,0.0015713,0.9955846211887543,0.0028440788112455984,0.5019329856310903,0.6079211,0.9939377
Z10_n0,2,10000000,120473206,79.81644484750177,4392,421,0.0016055,0.9955823376336019,0.00281216236639803,0.5019639470705213,0.6079848,0.9939438
Z10_n0,3,10000000,120468414,79.81644484750177,4438,431,0.0015706,0.9955866661222086,0.002842733877791437,0.5019441361616996,0.6082526,0.9939676
Z10_n64,1,10000000,760464699,85.39337810854823,4368,369,0.001807,0.995472354155745,0.0027206458442550208,0.9211008741380118,0.6076634,0.993944
Z10_n64,2,10000000,760467929,85.39337810854823,4405,377,0.0017394,0.9954557148179342,0.002804885182065897,0.9211012092529677,0.6081712,0.9939213
Z10_n64,3,10000000,760466071,85.39337810854823,4360,380,0.001734,0.9954392934935556,0.002826706506444343,0.9211010164844028,0.6079616,0.9939244
