model_size,corpus_type,level,seed,bin,n_facts,frac_stored
L,CURATED,100,1,1,77122,0.0005597804351384818
L,CURATED,100,1,2,106561,0.0021019334546351384
L,CURATED,100,1,3-4,199049,0.004794819631017362
L,CURATED,100,1,5-8,206449,0.014563390532816215
L,CURATED,100,1,9-16,139693,0.059143230252567236
L,CURATED,100,1,17-32,89000,0.2595760840941011
L,CURATED,100,1,33-64,56375,0.7494676110379712
L,CURATED,100,1,65-128,35757,0.9903311313497183
L,CURATED,100,1,129-256,52396,0.9997367739486316
L,CURATED,100,1,>=257,7603,0.999755859375
L,CURATED,100,2,1,77271,0.0010111815527898565
L,CURATED,100,2,2,106161,0.0019412193471178211
L,CURATED,100,2,3-4,199133,0.003938993260393179
L,CURATED,100,2,5-8,206872,0.01188896583696682
L,CURATED,100,2,9-16,139372,0.047125488855813934
L,CURATED,100,2,17-32,88901,0.22312792493106798
L,CURATED,100,2,33-64,56446,0.7290015100854135
L,CURATED,100,2,65-128,35835,0.9917190238789766
L,CURATED,100,2,129-256,52384,0.9997367695765883
L,CURATED,100,2,>=257,7493,0.999755859375
L,CURATED,1000,1,1,223799,0.0006048354651523242
L,CURATED,1000,1,2,147203,0.0014745743468416064
L,CURATED,1000,1,3-4,141009,0.0034010167763006264
L,CURATED,1000,1,5-8,98802,0.010575478411051902
L,CURATED,1000,1,9-16,63587,0.04385292324025548
L,CURATED,1000,1,17-32,40800,0.22392252604166665
L,CURATED,1000,1,33-64,25913,0.7407352905485423
L,CURATED,1000,1,65-128,16318,0.9862738150068177
L,CURATED,1000,1,129-256,10272,0.9986849871008567
L,CURATED,1000,1,>=257,16574,0.999755859375
L,CURATED,1000,2,1,224541,0.0007222753079476577
L,CURATED,1000,2,2,146281,0.001485407299884298
L,CURATED,1000,2,3-4,140808,0.0035624612726194533
L,CURATED,1000,2,5-8,99151,0.010698764640705842
L,CURATED,1000,2,9-16,64027,0.045346001033987615
L,CURATED,1000,2,17-32,40545,0.2259736420855685
L,CURATED,1000,2,33-64,25870,0.74733993359224
L,CURATED,1000,2,65-128,16270,0.9874632963756146
L,CURATED,1000,2,129-256,10341,0.9996591569284281
L,CURATED,1000,2,>=257,16579,0.999755859375
L,CURATED,30,1,1,6866,0.0010666662494538304
L,CURATED,30,1,2,18612,0.003678060105711369
L,CURATED,30,1,3-4,82564,0.009832890526591493
L,CURATED,30,1,5-8,230527,0.03254594470123077
L,CURATED,30,1,9-16,238070,0.11937193867940626
L,CURATED,30,1,17-32,155560,0.42169594680107353
L,CURATED,30,1,33-64,128460,0.8910838992317648
L,CURATED,30,1,65-128,137098,0.992797333357115
L,CURATED,30,1,129-256,945,0.9891738487929894
L,CURATED,30,1,>=257,2,0.999755859375
L,CURATED,30,2,1,6932,0.0017754785325302942
L,CURATED,30,2,2,18835,0.0034723446417905496
L,CURATED,30,2,3-4,82593,0.010289439702630672
L,CURATED,30,2,5-8,229503,0.030600772077666195
L,CURATED,30,2,9-16,238712,0.11339907798152167
L,CURATED,30,2,17-32,155616,0.4091867662226249
L,CURATED,30,2,33-64,128568,0.8797804378082027
L,CURATED,30,2,65-128,136952,0.991373360397256
L,CURATED,30,2,129-256,943,0.984909623956124
L,CURATED,30,2,>=257,0,
L,CURATED,300,1,1,165839,0.0006482911914002436
