model_size,n_center,p_stored
S,1.0,4.965973877419088e-05
S,2.0,0.00025473979452362726
S,3.0,0.0005580471598678213
S,4.0,0.0006637123028256923
S,5.0,0.0010910557730748332
S,6.0,0.0017977396426166478
S,7.483314773547883,0.002395220840322606
S,9.486832980505138,0.004399896335789007
S,11.958260743101398,0.005644637453548701
S,15.427248620541512,0.011847559325757782
S,19.44222209522358,0.01854857008115034
S,24.372115213907882,0.03424970837395473
S,30.397368307141328,0.058613736287297095
S,37.78888725538237,0.09937656441739179
S,47.738873049120045,0.17733875879949987
S,59.6992462263972,0.281176173165256
S,74.1215218408257,0.41186409375304167
S,92.46080250571049,0.5718387383281079
S,115.82745788456207,0.7144345290424169
S,144.67204291085406,0.8124036135121159
S,180.4494389018708,0.8813212558734552
S,225.17104609607338,0.9220898633991449
S,280.84871372324284,0.9583003089374136
S,350.3912099354092,0.9754183796562331
S,437.3739818507726,0.9879399389769901
S,545.7114622215663,0.9975756268168605
S,680.881781221968,0.999755859375
S,849.3691776842388,0.999755859375
S,1059.5598142625079,0.999755859375
S,1321.9621779763595,0.999755859375
S,1649.4344485307683,0.9982699752739599
S,2057.963556528638,0.999755859375
S,2567.3396736700033,0.999755859375
S,3202.9417728082412,0.999755859375
S,3996.074824124293,0.999755859375
S,4985.534274277933,0.999755859375
M,1.0,0.0011800061765008488
M,2.0,0.003503263456537944
M,3.0,0.008020824431213916
M,4.0,0.014343405283471918
M,5.0,0.024348313962796925
M,6.0,0.0361621501039947
M,7.483314773547883,0.06135156007776974
M,9.486832980505138,0.10585055942766433
M,11.958260743101398,0.1799809626660671
M,15.427248620541512,0.29985981516643184
M,19.44222209522358,0.4502927939666043
M,24.372115213907882,0.6159012320532986
M,30.397368307141328,0.7288227751755372
M,37.78888725538237,0.8176942797230589
M,47.738873049120045,0.8682129709124075
M,59.6992462263972,0.906279393644199
M,74.1215218408257,0.9265613878935907
M,92.46080250571049,0.9443578222975736
M,115.82745788456207,0.9602459819056327
M,144.67204291085406,0.9787747719045509
M,180.4494389018708,0.98671088855454
M,225.17104609607338,0.992914813097334
M,280.84871372324284,0.9979133904666628
M,350.3912099354092,0.999755859375
M,437.3739818507726,0.999755859375
M,545.7114622215663,0.999755859375
M,680.881781221968,0.999755859375
M,849.3691776842388,0.999755859375
M,1059.5598142625079,0.999755859375
M,1321.9621779763595,0.999755859375
M,1649.4344485307683,0.999755859375
M,2057.963556528638,0.999755859375
M,2567.3396736700033,0.999755859375
M,3202.9417728082412,0.999755859375
M,3996.074824124293,0.999755859375
M,4985.534274277933,0.999755859375
L,1.0,0.005573555127902681
L,2.0,0.017263081539212872
L,3.0,0.037130517533614404
L,4.0,0.06276910577453781
L,5.0,0.09719414535543781
L,6.0,0.13664872582734164
L,7.483314773547883,0.2050218624913545
L,9.486832980505138,0.31172023913274405
L,11.958260743101398,0.44397868313906896
L,15.427248620541512,0.6030277311263815
L,19.44222209522358,0.741132364418931
L,24.372115213907882,0.8459406306220854
L,30.397368307141328,0.9097173214794027
L,37.78888725538237,0.9406304689243083
L,47.738873049120045,0.9581006113618458
L,59.6992462263972,0.9774602359233072
L,74.1215218408257,0.9820412399473185
L,92.46080250571049,0.9903774515233097
L,115.82745788456207,0.9955047966093086
L,144.67204291085406,0.9982783180038416
L,180.4494389018708,0.9990692819633968
L,225.17104609607338,0.999755859375
L,280.84871372324284,0.999755859375
L,350.3912099354092,0.999755859375
L,437.3739818507726,0.999755859375
L,545.7114622215663,0.999755859375
L,680.881781221968,0.999755859375
L,849.3691776842388,0.999755859375
L,1059.5598142625079,0.999755859375
L,1321.9621779763595,0.999755859375
L,1649.4344485307683,0.999755859375
L,2057.963556528638,0.999755859375
L,2567.3396736700033,0.999755859375
L,3202.9417728082412,0.999755859375
L,3996.074824124293,0.999755859375
L,4985.534274277933,0.999755859375
