model_size,corpus_type,level,tau,Z,W,N,N_stat,n_facts_at_cap,expected_stationary_exposures_at_cap,expected_total_exposures_at_cap
S,FLAT,1000,7.189488355881555e-05,0.6984073889321478,1000000,10714285,9714285,2722,1000.0000000000009,1182.6930507402465
S,FLAT,300,1.2418569654384843e-05,0.40212508305015315,1000000,10714285,9714285,11003,299.9999999999998,366.7560155282233
S,FLAT,100,2.2430408210217214e-06,0.21789537802038983,1000000,10714285,9714285,36566,100.00000000000004,123.63188898542614
S,FLAT,30,2.954846136293887e-07,0.09568072499702558,1000000,10714285,9714285,144098,29.999999999999982,36.571208600103674
S,CURATED,1000,7.189488355881555e-05,0.6984073889321478,1000000,25000000,24000000,2722,2470.588416955033,2653.281467695278
S,CURATED,300,1.2418569654384843e-05,0.40212508305015315,1000000,25000000,24000000,11003,741.1765250865086,807.9325406147321
S,CURATED,100,2.2430408210217214e-06,0.21789537802038983,1000000,25000000,24000000,36566,247.0588416955032,270.6907306809293
S,CURATED,30,2.954846136293887e-07,0.09568072499702558,1000000,25000000,24000000,144098,74.11765250865088,80.68886110875458
S,CURATED,x30,4.4985245717879895e-08,0.035988196574303896,1000000,25000000,24000000,507909,30.000000000000014,31.942986272330334
M,FLAT,1000,6.524744542803083e-05,0.6795054922094601,300000,10714285,10414285,2971,999.9999999999999,1051.93651984085
M,FLAT,300,1.1174214587862602e-05,0.3879048512305288,300000,10714285,10414285,11878,300.0000000000001,318.81181519559124
M,FLAT,100,2.005749389920683e-06,0.20888445785210125,300000,10714285,10414285,39473,99.99999999999997,106.61430715539409
M,FLAT,30,2.604692120679581e-07,0.09042002027337187,300000,10714285,10414285,156827,29.999999999999986,31.818108970102603
M,CURATED,1000,6.524744542803083e-05,0.6795054922094601,300000,25000000,24700000,2971,2371.7422751537906,2423.678794994641
M,CURATED,300,1.1174214587862602e-05,0.3879048512305288,300000,25000000,24700000,11878,711.5226825461376,730.3344977417286
M,CURATED,100,2.005749389920683e-06,0.20888445785210125,300000,25000000,24700000,39473,237.17422751537904,243.78853467077317
M,CURATED,30,2.604692120679581e-07,0.09042002027337187,300000,25000000,24700000,156827,71.1522682546137,72.97037722471632
M,CURATED,x30,4.150623663516524e-08,0.03417346816295274,300000,25000000,24700000,535963,29.99999999999998,30.553063740748545
L,FLAT,1000,6.524744542803083e-05,0.6795054922094601,300000,10714285,10414285,2971,999.9999999999999,1051.93651984085
L,FLAT,300,1.1174214587862602e-05,0.3879048512305288,300000,10714285,10414285,11878,300.0000000000001,318.81181519559124
L,FLAT,100,2.005749389920683e-06,0.20888445785210125,300000,10714285,10414285,39473,99.99999999999997,106.61430715539409
L,FLAT,30,2.604692120679581e-07,0.09042002027337187,300000,10714285,10414285,156827,29.999999999999986,31.818108970102603
L,CURATED,1000,6.524744542803083e-05,0.6795054922094601,300000,25000000,24700000,2971,2371.7422751537906,2423.678794994641
L,CURATED,300,1.1174214587862602e-05,0.3879048512305288,300000,25000000,24700000,11878,711.5226825461376,730.3344977417286
L,CURATED,100,2.005749389920683e-06,0.20888445785210125,300000,25000000,24700000,39473,237.17422751537904,243.78853467077317
L,CURATED,30,2.604692120679581e-07,0.09042002027337187,300000,25000000,24700000,156827,71.1522682546137,72.97037722471632
L,CURATED,x30,4.150623663516524e-08,0.03417346816295274,300000,25000000,24700000,535963,29.99999999999998,30.553063740748545
