model_size,corpus_type,level,tau,W,N,N_stat,predicted_facts_stored,predicted_ratio_to_RAW,predicted_weighted_acc_p
S,RAW,RAW,,0,10714285,10714285,17277.14337778565,1.0,0.7699387486031866
S,FLAT,1000,7.189488355881555e-05,1000000,10714285,9714285,21777.54946965831,1.2604832288223713,0.7973096143654064
S,FLAT,300,1.2418569654384843e-05,1000000,10714285,9714285,31064.12067789489,1.7979894012939694,0.8260958321322707
S,FLAT,100,2.2430408210217214e-06,1000000,10714285,9714285,39162.713783779785,2.266735473998198,0.7645043234896318
S,FLAT,30,2.954846136293887e-07,1000000,10714285,9714285,17752.155668399657,1.0274936822730059,0.5499318719456925
S,CURATED,1000,7.189488355881555e-05,1000000,25000000,24000000,39489.03448480547,2.285622896177333,0.8561192065211021
S,CURATED,300,1.2418569654384843e-05,1000000,25000000,24000000,56999.98987554213,3.2991559211594397,0.8851978120031305
S,CURATED,100,2.2430408210217214e-06,1000000,25000000,24000000,84195.35108213917,4.8732217613239595,0.8901924623024626
S,CURATED,30,2.954846136293887e-07,1000000,25000000,24000000,92804.82980916521,5.371537862473864,0.7293537959535054
S,CURATED,x30,4.4985245717879895e-08,1000000,25000000,24000000,46617.90555857412,2.698241517085157,0.5519148316013578
M,RAW,RAW,,0,10714285,10714285,45714.98654856894,1.0,0.8633726433315089
M,FLAT,1000,6.524744542803083e-05,300000,10714285,10414285,58999.42361786182,1.290592605888205,0.8833467971161924
M,FLAT,300,1.1174214587862602e-05,300000,10714285,10414285,85490.92275448907,1.8700852654448672,0.90809646845781
M,FLAT,100,2.005749389920683e-06,300000,10714285,10414285,127382.11779596617,2.786441108554887,0.9074373399867612
M,FLAT,30,2.604692120679581e-07,300000,10714285,10414285,192676.12911583844,4.214725709503025,0.8380495074676351
M,CURATED,1000,6.524744542803083e-05,300000,25000000,24700000,104488.92222624383,2.285660132815127,0.9202040911224245
M,CURATED,300,1.1174214587862602e-05,300000,25000000,24700000,151318.55935602254,3.31004274047543,0.9392108975318773
M,CURATED,100,2.005749389920683e-06,300000,25000000,24700000,226963.1997540841,4.964743881373601,0.9540628020817732
M,CURATED,30,2.604692120679581e-07,300000,25000000,24700000,380091.6394682934,8.314377147731914,0.9306770053482158
M,CURATED,x30,4.150623663516524e-08,300000,25000000,24700000,566272.3827040198,12.387018469367709,0.8592943781169706
L,RAW,RAW,,0,10714285,10714285,67954.66133411552,1.0,0.8921101154894079
L,FLAT,1000,6.524744542803083e-05,300000,10714285,10414285,87303.71512567298,1.2847347541977021,0.9086704984544193
L,FLAT,300,1.1174214587862602e-05,300000,10714285,10414285,125621.18854335297,1.8486029667001949,0.9294449438975232
L,FLAT,100,2.005749389920683e-06,300000,10714285,10414285,187133.66279842224,2.753801713150101,0.9457415060400892
L,FLAT,30,2.604692120679581e-07,300000,10714285,10414285,306174.1112307697,4.505564522283331,0.9330703049165843
L,CURATED,1000,6.524744542803083e-05,300000,25000000,24700000,152845.2736402051,2.249224271587557,0.9392285341142923
L,CURATED,300,1.1174214587862602e-05,300000,25000000,24700000,219136.69228819583,3.2247485012213852,0.954986761660966
L,CURATED,100,2.005749389920683e-06,300000,25000000,24700000,323609.67218037223,4.7621409014058225,0.9693018634091461
L,CURATED,30,2.604692120679581e-07,300000,25000000,24700000,528677.342525042,7.779853981254826,0.9757397718334146
L,CURATED,x30,4.150623663516524e-08,300000,25000000,24700000,781936.1048091655,11.506732422145225,0.9557024535210622
