docs,tokens,step,weights,probe_acc,run,model_size,setting,corpus_type,level,seed,budget_mult,docs_since_window
74752,901072,584,main_at_snapshot,0.001,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,-4195248
83072,1001257,649,branch,0.0005,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,-4186928
168832,2034217,1319,main_at_snapshot,0.0005,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,-4101168
187520,2259419,1465,branch,0.0005,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,-4082480
381184,4592242,2978,main_at_snapshot,0.0005,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,-3888816
423552,5102709,3309,branch,0.0,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,-3846448
861056,10372290,6727,main_at_snapshot,0.0,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,-3408944
956800,11525385,7475,branch,0.001,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,-3313200
1944960,23429619,15195,main_at_snapshot,0.0,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,-2325040
2160896,26031791,16882,branch,0.0,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,-2109104
4270080,51439983,33360,main,1.0,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,80
4392960,52920765,34320,main_at_snapshot,0.8895,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,122960
4881024,58800178,38133,branch,0.989,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,611024
4770048,57462811,37266,main,0.3915,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,500048
5270016,63485156,41172,main,0.205,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,1000016
5770112,69509797,45079,main,0.0855,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,1500112
6270080,75532937,48985,main,0.0255,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,2000080
6770048,81556046,52891,main,0.0105,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,2500048
7270016,87579134,56797,main,0.0045,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,3000016
7770112,93602933,60704,main,0.0025,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,3500112
8270080,99626520,64610,main,0.002,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,4000080
8770048,105647290,68516,main,0.0015,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,4500048
9270016,111669552,72422,main,0.0005,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,5000016
9770112,117695068,76329,main,0.001,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,5500112
9922688,119534087,77521,main_at_snapshot,0.0,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,5652688
11025024,132815102,86133,branch,0.0005,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,6755024
10270080,123719160,80235,main,0.0005,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,6000080
10770048,129742461,84141,main,0.0005,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,6500048
11270016,135767351,88047,main,0.0,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,7000016
11770112,141791686,91954,main,0.0,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,7500112
12270080,147813850,95860,main,0.0,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,8000080
12770048,153836575,99766,main,0.0,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,8500048
13270016,159858994,103672,main,0.0005,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,9000016
13770112,165882275,107579,main,0.0005,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,9500112
14270080,171906270,111485,main,0.0,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,10000080
14770048,177929394,115391,main,0.0005,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,10500048
15270016,183953795,119297,main,0.0005,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,11000016
15770112,189978859,123204,main,0.001,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,11500112
16270080,196001610,127110,main,0.0005,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,12000080
16770048,202025680,131016,main,0.0005,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,12500048
17270016,208048526,134922,main,0.0005,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,13000016
17770112,214072814,138829,main,0.0,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,13500112
18270080,220097010,142735,main,0.0,CURATEDF_seed1_L_base_15,L,base,CURATED,15,1,1,14000080
