corpus,zipf_a,filler_n,seed,lr,docs,train_tokens,facts_delivered,bits_delivered,obj_loss_bits_indist,ideal_loss_bits,facts_stored,bits_stored,bits_stored_soft,unseen_top1_acc,train_loss_nats,wall_seconds,git_commit,config_hash,obj_loss_bits_indist_fullvocab,unseen_loss_bits,delivered_top1_acc,cooldown,model_size,n_params_nonemb,n_params_total,bits_stored_per_param,bits_stored_per_param_total,k_sub,frac_stored,mean_exposures,cap,warmup_docs,facts_with_at_least_cstar_exposures,cap_adequacy,budget_tokens,n_uncapped,corpus_type,level,tau,n_facts_at_cap,weighted_acc_p,head_loss_bits,setting,weight_decay,schedule,mid_schedule,probe_acc_branch,probe_acc_main_at_snapshot,budget_mult,run
CURATEDF,0.5,0,1,0.0003,83072,1001257,29307,351684,8.504069926141874,,1084.844970703125,13018.1396484375,26387.968861746525,0.0005,2.205995321273804,8.127976417541504,51a86202db31,40f8c3a0fb17,8.587798038456887,12.665883305811882,0.0372607226942368,1,L,31524864,34350080,0.0004129483206791,0.000378984259962,,,,,,,,300000000,,CURATED,15,6.4338123202e-08,397962.0,0.28171,3.923321390271187,base,0.1,constant,0,0.0005,0.001,1,CURATEDF_seed1_L_base_15
CURATEDF,0.5,0,1,0.0003,187520,2259419,49553,594636,5.006291673408146,,5083.902099609375,61006.8251953125,94742.38310333004,0.0003,1.8049899339675903,18.3078191280365,51a86202db31,40f8c3a0fb17,5.063695851225743,12.707582492268086,0.1028393840937985,1,L,31524864,34350080,0.0019351970938022,0.0017760315316678,,,,,,,,300000000,,CURATED,15,6.4338123202e-08,397962.0,0.57995,0.0959124302417039,base,0.1,constant,0,0.0005,0.0005,1,CURATEDF_seed1_L_base_15
CURATEDF,0.5,0,1,0.0003,423552,5102709,171073,2052876,11.87218490867138,,58.234130859375,698.8095703125,7814.10702984409,0.00025,2.448758840560913,40.15300941467285,51a86202db31,40f8c3a0fb17,11.909959239087105,12.114054590797425,0.0005845457787026,1,L,31524864,34350080,2.216693370390115e-05,2.034375379365929e-05,,,,,,,,300000000,,CURATED,15,6.4338123202e-08,397962.0,0.003275,11.723905786514282,base,0.1,constant,0,0.0,0.0005,1,CURATEDF_seed1_L_base_15
CURATEDF,0.5,0,1,0.0003,956800,11525385,487813,5853756,11.961951346774102,,59.905029296875,718.8603515625,5642.315293037987,0.00035,2.4035120010375977,88.63666033744812,51a86202db31,40f8c3a0fb17,12.026935818161965,12.021691963338853,0.0003669438903842,1,L,31524864,34350080,2.2802964401765535e-05,2.0927472412364105e-05,,,,,,,,300000000,,CURATED,15,6.4338123202e-08,397962.0,0.000465,11.938799343109132,base,0.1,constant,0,0.001,0.0,1,CURATEDF_seed1_L_base_15
CURATEDF,0.5,0,1,0.0003,2160896,26031791,795023,9540276,11.954952270064354,,140.902587890625,1690.8310546875,17968.397158492095,0.00025,2.401761054992676,193.73774528503415,51a86202db31,40f8c3a0fb17,12.074520927510262,12.023216337537766,0.0004213714571779,1,L,31524864,34350080,5.3634840571794375e-05,4.922349685029846e-05,,,,,,,,300000000,,CURATED,15,6.4338123202e-08,397962.0,0.000815,11.943323524475096,base,0.1,constant,0,0.0,0.0,1,CURATEDF_seed1_L_base_15
CURATEDF,0.5,0,1,0.0003,4881024,58800178,951444,11417328,11.591645755414664,,3167.7138671875,38012.56640625,247154.86042190847,0.00025,2.36342453956604,424.7826578617096,51a86202db31,40f8c3a0fb17,11.723569721176029,12.258296643280984,0.0035735156246715,1,L,31524864,34350080,0.0012057963646171,0.0011066223544821,,,,,,,,300000000,,CURATED,15,6.4338123202e-08,397962.0,0.005765,11.565334968566894,base,0.1,constant,0,0.989,0.8895,1,CURATEDF_seed1_L_base_15
CURATEDF,0.5,0,1,0.0003,11025024,132815102,995401,11944812,9.09862169820994,,156115.98217773438,1873391.7861328125,1781439.5102973678,0.0,2.190084934234619,932.78928565979,51a86202db31,40f8c3a0fb17,9.180712544289232,12.421948422648072,0.157081417438801,1,L,31524864,34350080,0.0594258483123927,0.0545382073675756,,,,,,,,300000000,,CURATED,15,6.4338123202e-08,397962.0,0.27781,8.993347238302231,base,0.1,constant,0,0.0005,0.0,1,CURATEDF_seed1_L_base_15
CURATEDF,0.5,0,1,0.0003,24903168,300000660,997988,11975856,8.045557794334739,,251337.3505859375,3016048.20703125,2476081.7184271864,0.0,2.1691598892211914,2070.593869447708,51a86202db31,40f8c3a0fb17,8.120165971200615,12.27532402674357,0.2520882014613402,1,L,31524864,34350080,0.0956720449937944,0.0878032367619304,,,,,,,,300000000,,CURATED,15,6.4338123202e-08,397962.0,0.429,8.062461784183979,base,0.1,constant,0,0.001,0.0015,1,CURATEDF_seed1_L_base_15
CURATEDF,0.5,0,2,0.0003,83072,1000576,29081,348972,8.433225033192635,,1117.900146484375,13414.8017578125,26913.323528857207,0.00025,2.1007063388824463,8.983015537261963,51a86202db31,afb8bb51c8f0,8.526886445569843,12.670289799809456,0.0386850520958701,1,L,31524864,34350080,0.0004255308367963,0.0003905318927295,,,,,,,,300000000,,CURATED,15,6.4338123202e-08,397962.0,0.28393,3.8459255718588823,base,0.1,constant,0,0.0005,0.0015,1,CURATEDF_seed2_L_base_15
CURATEDF,0.5,0,2,0.0003,187648,2259826,49456,593472,4.97307204661716,,5297.92578125,63575.109375,96203.31040344504,0.0003,1.724886417388916,21.13308811187744,51a86202db31,afb8bb51c8f0,5.031332494010711,12.702632740354538,0.107368165642187,1,L,31524864,34350080,0.0020166656190808,0.0018507994559255,,,,,,,,300000000,,CURATED,15,6.4338123202e-08,397962.0,0.585685,0.089247824456077,base,0.1,constant,0,0.0,0.0,1,CURATEDF_seed2_L_base_15
