run,model_size,setting,corpus_type,seed,window,n_facts,frac_stored
CURATEDF_seed1_L_base_15,L,base,CURATED,1,early_third,22,-0.000244140625
CURATEDF_seed1_L_base_15,L,base,CURATED,1,last_third,48,0.2914225260416667
CURATEDF_seed1_L_base_8,L,base,CURATED,1,early_third,52,-0.000244140625
CURATEDF_seed1_L_base_8,L,base,CURATED,1,last_third,84,0.16642252604166666
CURATEDF_seed2_L_base_15,L,base,CURATED,2,early_third,16,-0.000244140625
CURATEDF_seed2_L_base_15,L,base,CURATED,2,last_third,54,0.2775336371527778
CURATEDF_seed2_L_base_8,L,base,CURATED,2,early_third,55,-0.000244140625
CURATEDF_seed2_L_base_8,L,base,CURATED,2,last_third,84,0.047374906994047616
CURATEDF_seed3_L_base,L,base,CURATED,3,early_third,8,-0.000244140625
CURATEDF_seed3_L_base,L,base,CURATED,3,last_third,29,0.5859627559267241
CURATEDF_seed3_M_base,M,base,CURATED,3,early_third,6,-0.000244140625
CURATEDF_seed3_M_base,M,base,CURATED,3,last_third,15,0.199755859375
CURATEDF_seed3_S_base,S,base,CURATED,3,early_third,3,-0.000244140625
CURATEDF_seed3_S_base,S,base,CURATED,3,last_third,7,-0.000244140625
CURATEDF_seed4_L_base,L,base,CURATED,4,early_third,14,-0.000244140625
CURATEDF_seed4_L_base,L,base,CURATED,4,last_third,36,0.7219780815972222
CURATEDF_seed4_M_base,M,base,CURATED,4,early_third,12,-0.000244140625
CURATEDF_seed4_M_base,M,base,CURATED,4,last_third,16,0.124755859375
CURATEDF_seed4_S_base,S,base,CURATED,4,early_third,2,-0.000244140625
CURATEDF_seed4_S_base,S,base,CURATED,4,last_third,9,-0.000244140625
CURATEDF_seed5_L_base,L,base,CURATED,5,early_third,11,-0.000244140625
CURATEDF_seed5_L_base,L,base,CURATED,5,last_third,35,0.6283272879464286
CURATEDF_seed5_M_base,M,base,CURATED,5,early_third,5,-0.000244140625
CURATEDF_seed5_M_base,M,base,CURATED,5,last_third,16,-0.000244140625
CURATEDF_seed5_S_base,S,base,CURATED,5,early_third,5,-0.000244140625
CURATEDF_seed5_S_base,S,base,CURATED,5,last_third,8,-0.000244140625
FLAT_seed1_L_base,L,base,FLAT,1,early_third,7,-0.000244140625
FLAT_seed1_L_base,L,base,FLAT,1,last_third,20,0.999755859375
FLAT_seed1_L_base_15,L,base,FLAT,1,early_third,55,-0.000244140625
FLAT_seed1_L_base_15,L,base,FLAT,1,last_third,52,0.6920635516826923
FLAT_seed1_L_base_8,L,base,FLAT,1,early_third,121,-0.000244140625
FLAT_seed1_L_base_8,L,base,FLAT,1,last_third,27,0.1108669704861111
FLAT_seed1_L_cosine,L,cosine,FLAT,1,early_third,7,0.8568987165178571
FLAT_seed1_L_cosine,L,cosine,FLAT,1,last_third,20,0.999755859375
FLAT_seed1_M_base,M,base,FLAT,1,early_third,2,-0.000244140625
FLAT_seed1_M_base,M,base,FLAT,1,last_third,15,0.6664225260416666
FLAT_seed1_M_cosine,M,cosine,FLAT,1,early_third,2,-0.000244140625
FLAT_seed1_M_cosine,M,cosine,FLAT,1,last_third,15,0.999755859375
FLAT_seed1_S_base,S,base,FLAT,1,early_third,2,-0.000244140625
FLAT_seed1_S_base,S,base,FLAT,1,last_third,10,0.199755859375
FLAT_seed1_S_cosine,S,cosine,FLAT,1,early_third,2,-0.000244140625
FLAT_seed1_S_cosine,S,cosine,FLAT,1,last_third,10,0.199755859375
FLAT_seed2_L_base,L,base,FLAT,2,early_third,4,-0.000244140625
FLAT_seed2_L_base,L,base,FLAT,2,last_third,23,0.999755859375
FLAT_seed2_L_base_15,L,base,FLAT,2,early_third,55,-0.000244140625
FLAT_seed2_L_base_15,L,base,FLAT,2,last_third,65,0.13821739783653847
FLAT_seed2_L_base_8,L,base,FLAT,2,early_third,141,-0.000244140625
FLAT_seed2_L_base_8,L,base,FLAT,2,last_third,18,-0.000244140625
FLAT_seed2_L_cosine,L,cosine,FLAT,2,early_third,4,0.999755859375
FLAT_seed2_L_cosine,L,cosine,FLAT,2,last_third,23,0.999755859375
FLAT_seed2_M_base,M,base,FLAT,2,early_third,2,-0.000244140625
FLAT_seed2_M_base,M,base,FLAT,2,last_third,11,0.7270285866477273
FLAT_seed2_M_cosine,M,cosine,FLAT,2,early_third,2,-0.000244140625
FLAT_seed2_M_cosine,M,cosine,FLAT,2,last_third,11,0.999755859375
FLAT_seed2_S_base,S,base,FLAT,2,early_third,2,-0.000244140625
